t,y,x
1.800000000E0,3.002145498E-1,-2.930557960E-2
1.833333333E0,2.983894899E-1,-2.920277581E-2
1.866666667E0,2.952169977E-1,-2.905545873E-2
1.900000000E0,2.912214133E-1,-2.911538786E-2
1.933333333E0,2.872337038E-1,-2.874117076E-2
1.966666667E0,2.842596038E-1,-2.877488826E-2
2.000000000E0,2.810379081E-1,-2.885862260E-2
2.033333333E0,2.774954955E-1,-2.878812380E-2
2.066666667E0,2.729046885E-1,-2.881261246E-2
2.100000000E0,2.676637139E-1,-2.858399619E-2
2.133333333E0,2.622349255E-1,-2.840645302E-2
2.166666667E0,2.576789317E-1,-2.863047018E-2
2.200000000E0,2.547755840E-1,-2.860129922E-2
2.233333333E0,2.542366423E-1,-2.911580746E-2
2.266666667E0,2.563619018E-1,-2.922963440E-2
2.300000000E0,2.607707051E-1,-2.902272606E-2
2.333333333E0,2.671071254E-1,-2.895825614E-2
2.366666667E0,2.744902667E-1,-2.892598309E-2
2.400000000E0,2.824224308E-1,-2.922477900E-2
2.433333333E0,2.901263704E-1,-2.918406371E-2
2.466666667E0,2.963296263E-1,-2.916853037E-2
2.500000000E0,3.016270349E-1,-2.955713030E-2
2.533333333E0,3.055283026E-1,-2.994467409E-2
2.566666667E0,3.076581689E-1,-2.997072987E-2
2.600000000E0,3.080944464E-1,-3.016024667E-2
2.633333333E0,3.077655413E-1,-3.034276042E-2
2.666666667E0,3.071135777E-1,-3.080848030E-2
2.700000000E0,3.061392677E-1,-3.089836996E-2
2.733333333E0,3.041918405E-1,-3.065033240E-2
2.766666667E0,3.010011452E-1,-3.026120630E-2
2.800000000E0,2.968641470E-1,-3.015981521E-2
2.833333333E0,2.929463829E-1,-2.975630281E-2
2.866666667E0,2.899875289E-1,-2.981400632E-2
2.900000000E0,2.868137107E-1,-2.987191001E-2
2.933333333E0,2.833823554E-1,-2.960352418E-2
2.966666667E0,2.789963810E-1,-2.982005572E-2
3.000000000E0,2.742729824E-1,-2.959703971E-2
3.033333333E0,2.689985652E-1,-2.941353356E-2
3.066666667E0,2.644213482E-1,-2.952035661E-2
3.100000000E0,2.615301289E-1,-2.970605937E-2
3.133333333E0,2.610971201E-1,-2.983026496E-2
3.166666667E0,2.631719737E-1,-2.989260174E-2
3.200000000E0,2.677087377E-1,-2.976083951E-2
3.233333333E0,2.738714851E-1,-2.973114172E-2
3.266666667E0,2.811439795E-1,-2.962830684E-2
3.300000000E0,2.887278340E-1,-2.978278683E-2
3.333333333E0,2.956634816E-1,-3.005261643E-2
3.366666667E0,3.017916139E-1,-3.011732286E-2
3.400000000E0,3.067287832E-1,-3.047685772E-2
3.433333333E0,3.106004830E-1,-3.060103382E-2
3.466666667E0,3.125294754E-1,-3.090229126E-2
3.500000000E0,3.129652432E-1,-3.102373429E-2
3.533333333E0,3.124763607E-1,-3.138481265E-2
3.566666667E0,3.118526419E-1,-3.172394705E-2
3.600000000E0,3.109048901E-1,-3.157790160E-2
3.633333333E0,3.090188654E-1,-3.161358834E-2
3.666666667E0,3.058672094E-1,-3.135016423E-2
3.700000000E0,3.018569022E-1,-3.125996783E-2
3.733333333E0,2.991707192E-1,-3.086805275E-2
3.766666667E0,2.971946762E-1,-3.083380476E-2
3.800000000E0,2.952382410E-1,-3.095641337E-2
3.833333333E0,2.930863389E-1,-3.067653268E-2
3.866666667E0,2.902672018E-1,-3.067805013E-2
3.900000000E0,2.867325500E-1,-3.048507645E-2
3.933333333E0,2.827886051E-1,-3.019164765E-2
3.966666667E0,2.795044147E-1,-3.021772058E-2
4.000000000E0,2.779436609E-1,-3.043481513E-2
4.033333333E0,2.786279661E-1,-3.077089873E-2
4.066666667E0,2.820695108E-1,-3.086180314E-2
4.100000000E0,2.873766853E-1,-3.072069283E-2
4.133333333E0,2.941355579E-1,-3.044799016E-2
4.166666667E0,3.020740686E-1,-3.057068902E-2
4.200000000E0,3.102040648E-1,-3.053522870E-2
4.233333333E0,3.179417940E-1,-3.080215643E-2
4.266666667E0,3.248303614E-1,-3.111461384E-2
4.300000000E0,3.301653312E-1,-3.137195777E-2
4.333333333E0,3.340779560E-1,-3.170926002E-2
4.366666667E0,3.363415141E-1,-3.163777482E-2
4.400000000E0,3.366301512E-1,-3.193772278E-2
4.433333333E0,3.361515573E-1,-3.186562208E-2
4.466666667E0,3.357533170E-1,-3.237088584E-2
4.500000000E0,3.348773679E-1,-3.222433826E-2
4.533333333E0,3.325416284E-1,-3.200728920E-2
4.566666667E0,3.289061777E-1,-3.144457640E-2
4.600000000E0,3.243032249E-1,-3.132012871E-2
4.633333333E0,3.204368491E-1,-3.079839143E-2
4.666666667E0,3.175846336E-1,-3.078854332E-2
4.700000000E0,3.145817837E-1,-3.074074394E-2
4.733333333E0,3.111192729E-1,-3.043000161E-2
4.766666667E0,3.066974936E-1,-3.040701340E-2
4.800000000E0,3.013502974E-1,-3.011432004E-2
4.833333333E0,2.960962720E-1,-2.973693682E-2
4.866666667E0,2.916986312E-1,-2.980604444E-2
4.900000000E0,2.889480254E-1,-3.001579066E-2
4.933333333E0,2.889300336E-1,-3.025711907E-2
4.966666667E0,2.914354086E-1,-3.027603005E-2
5.000000000E0,2.962443020E-1,-3.011844266E-2
